endpoint,definition,model,n,events,controls,event_rate,in_sample_auc,in_sample_brier,cv_auc_mean,cv_auc_sd,cv_auc_from_mean_probability,cv_brier_mean,cv_brier_sd,condition_number,logistic_converged,logistic_iterations
High myopia,SE <= -6.00 D,Model 1 Clinical,137,24,113,0.17518248175182483,0.6347713864306784,0.1377621044506836,0.5053060471976402,0.05000823469487578,0.48672566371681414,0.14733401158485568,0.00424710253441152,2.6095778511794565,True,6
High myopia,SE <= -6.00 D,Model 2 Clinical + Cho,137,24,113,0.17518248175182483,0.7876106194690266,0.11243826991361662,0.6708259587020649,0.03967624174547093,0.6817846607669616,0.13992534254573533,0.006428026748013049,3.480642046726812,True,6
High myopia,SE <= -6.00 D,Model 3 Clinical + OCTA,137,24,113,0.17518248175182483,0.7898230088495575,0.11713847912397972,0.7262094395280235,0.02856574169285699,0.7411504424778761,0.13776401034791358,0.0056225622769537995,3.500582818352757,True,6
High myopia,SE <= -6.00 D,Model 4 Clinical + OCTA_nonflow,137,24,113,0.17518248175182483,0.7002212389380531,0.1308231149441468,0.6190634218289085,0.03496007447922041,0.6202064896755162,0.14567144642339241,0.005101611183217375,3.0052875932421843,True,6
High myopia,SE <= -6.00 D,Model 5 Clinical + OCTA + Cho,137,24,113,0.17518248175182483,0.8609882005899705,0.10261609940171476,0.7331895280235989,0.03891610074331059,0.75,0.14217954277397943,0.008910560374619464,4.389079874259282,True,6
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 1 Clinical,137,91,46,0.6642335766423357,0.692427138079312,0.1959011561369887,0.6504037267080746,0.0174905185557945,0.6404682274247492,0.20704447684662902,0.004227314643411551,2.6095778511794565,True,7
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 2 Clinical + Cho,137,91,46,0.6642335766423357,0.745819397993311,0.185142296598383,0.638786430960344,0.02936471070964106,0.6442904921165791,0.2169586932080465,0.009044357204426456,3.480642046726812,True,7
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 3 Clinical + OCTA,137,91,46,0.6642335766423357,0.725752508361204,0.18797953021374755,0.6553487816531294,0.022656838504904218,0.6624462494027712,0.20891676734888295,0.006817130154303911,3.500582818352757,True,7
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 4 Clinical + OCTA_nonflow,137,91,46,0.6642335766423357,0.7224080267558528,0.18858275629931187,0.6622049689440995,0.019002016451608317,0.6691352126134735,0.20598966702242882,0.005919937307346543,3.0052875932421843,True,7
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 5 Clinical + OCTA + Cho,137,91,46,0.6642335766423357,0.7969421882465361,0.17158285454263514,0.684727663640707,0.028743554547988753,0.6930243669374104,0.2119330014940789,0.010629220506077742,4.389079874259282,True,7
AL >= 26mm,AL >= 26 mm,Model 1 Clinical,137,25,112,0.18248175182481752,0.7407142857142858,0.13638786257571245,0.6686142857142857,0.029781207160525864,0.6835714285714286,0.1458190825132424,0.004182203518285778,2.6095778511794565,True,5
AL >= 26mm,AL >= 26 mm,Model 2 Clinical + Cho,137,25,112,0.18248175182481752,0.7453571428571428,0.12400206829418008,0.6522214285714287,0.030320029941041358,0.6682142857142858,0.14843183138150237,0.005820604809901523,3.480642046726812,True,6
AL >= 26mm,AL >= 26 mm,Model 3 Clinical + OCTA,137,25,112,0.18248175182481752,0.8017857142857143,0.12244257269299741,0.7357607142857142,0.024446980955942905,0.7628571428571429,0.137924150018478,0.005866647624221123,3.500582818352757,True,6
AL >= 26mm,AL >= 26 mm,Model 4 Clinical + OCTA_nonflow,137,25,112,0.18248175182481752,0.7657142857142857,0.1264075402877217,0.7142000000000001,0.023839543845309254,0.7360714285714286,0.13760855017980156,0.005140793709111169,3.0052875932421843,True,6
AL >= 26mm,AL >= 26 mm,Model 5 Clinical + OCTA + Cho,137,25,112,0.18248175182481752,0.805,0.11457760147076324,0.6841107142857141,0.027399673394839723,0.7096428571428571,0.14713952152005796,0.007792995010200232,4.389079874259282,True,6
