variable,label,category,matched_in_csv,valid_n,missing_rate,iqr,retained,drop_reason
VAD,Vessel Area Density,Density,True,137,0.0,0.0115406234921329,True,
FDt,Fractal Dimension,Complexity,True,137,0.0,0.0100077581792799,True,
VSD,Vessel Skeleton Density,Density,True,137,0.0,0.0038551651751737,True,
W_range_mean,Calibre_range_mean,Calibre,True,137,0.0,0.2638099999999999,True,
curvtort_mean,Squared curvature tortuosity_mean,Tortuosity,True,137,0.0,0.00503,True,
ang_std_mean,Turning angles_std_mean,Tortuosity,True,137,0.0,0.00473,True,
ang_range_mean,Turning angles_range_mean,Tortuosity,True,137,0.0,0.0112399999999999,True,
W_std_mean,Calibre_std_mean,Calibre,True,137,0.0,0.29515,True,
W_max_mean,Calibre_max_mean,Calibre,True,137,0.0,1.5372500000000002,True,
Strahler_mean,Strahler_mean,Complexity,True,137,0.0,0.2810600000000001,True,
JED_mean,Junctional Exponent Deviation_mean,Branching Angle,True,137,0.0,0.09652,True,
LRtort_mean,Linear regression tortuosity_mean,Tortuosity,True,137,0.0,0.94728,True,
tortD_mean,Tortuosity density_mean,Tortuosity,True,137,0.0,0.0188099999999999,True,
FDtort_mean,Fractal tortuosity_mean,Tortuosity,True,137,0.0,0.0074099999999999,True,
BA_mean,Branching Angle_mean,Branching Angle,True,137,0.0,2.47336,True,
W_min_mean,Calibre_min_mean,Calibre,True,137,0.0,0.5504300000000004,True,
BA_e_mean,Branching Angle(edge)_mean,Branching Angle,True,137,0.0,2.730620000000002,True,
AA_e_mean,Angular Asymmetry(edge)_mean,Branching Angle,True,137,0.0,4.242809999999999,True,
Arc_mean,Arc length_mean,Density,True,137,0.0,2.132070000000006,True,
BC_mean,Branching Coefficient_mean,Branching Angle,True,137,0.0,0.1369600000000002,True,
Tortuosity_mean,Distance-based tortuosity_mean,Tortuosity,True,137,0.0,0.0081599999999999,True,
level_mean,level_mean,Complexity,True,137,0.0,2.302420000000001,True,
twistort_mean,Twist-based tortuosity_mean,Tortuosity,True,137,0.0,1e-05,True,
AA_mean,Angular Asymmetry_mean,Branching Angle,True,137,0.0,3.529600000000002,True,
inflectort_mean,Inflection count tortuosity_mean,Tortuosity,True,137,0.0,0.00916,True,
ang_m_mean,Turning angles_mean_mean,Tortuosity,True,137,0.0,0.0094899999999999,True,
CA_mean,Curve Angle_mean,Tortuosity,True,137,0.0,1.4786,True,
SA_mean,Surface area_mean,Calibre,True,137,0.0,8.468890000000002,True,
LDR_mean,Length Diameter Ratio_mean,Calibre,True,137,0.0,0.2268499999999997,True,
AR_mean,Asymmetry Ratio_mean,Branching Angle,True,137,0.0,0.1098899999999998,True,
chord_mean,Chord length_mean,Density,True,137,0.0,1.8417299999999983,True,
W_mean_mean,Calibre_mean_mean,Calibre,True,137,0.0,0.9200299999999988,True,
angtort_mean,Angle-based tortuosity_mean,Tortuosity,True,137,0.0,0.01196,True,
W_range_max,Calibre_range_max,Calibre,True,137,0.0,2.4858,True,
curvtort_max,Squared curvature tortuosity_max,Tortuosity,True,137,0.0,0.2242699999999999,True,
ang_std_max,Turning angles_std_max,Tortuosity,True,137,0.0,0.05628,True,
ang_range_max,Turning angles_range_max,Tortuosity,True,137,0.0,0.32175,True,
W_std_max,Calibre_std_max,Calibre,True,137,0.0,3.47406,True,
W_max_max,Calibre_max_max,Calibre,True,137,0.0,10.0914,True,
Strahler_max,Strahler_max,Complexity,True,137,0.0,3.0,True,
JED_max,Junctional Exponent Deviation_max,Branching Angle,True,137,0.0,0.03044,True,
LRtort_max,Linear regression tortuosity_max,Tortuosity,True,137,0.0,245.64434,True,
tortD_max,Tortuosity density_max,Tortuosity,True,137,0.0,0.0129499999999999,True,
FDtort_max,Fractal tortuosity_max,Tortuosity,True,137,0.0,0.0,False,IQR<=1e-08
BA_max,Branching Angle_max,Branching Angle,True,137,0.0,11.309939999999983,True,
W_min_max,Calibre_min_max,Calibre,True,137,0.0,12.68794,True,
BA_e_max,Branching Angle(edge)_max,Branching Angle,True,137,0.0,10.815089999999998,True,
AA_e_max,Angular Asymmetry(edge)_max,Branching Angle,True,137,0.0,14.02191000000002,True,
Arc_max,Arc length_max,Density,True,137,0.0,70.43494999999999,True,
BC_max,Branching Coefficient_max,Branching Angle,True,137,0.0,3.2434499999999997,True,
Tortuosity_max,Distance-based tortuosity_max,Tortuosity,True,137,0.0,1.2668699999999995,True,
level_max,level_max,Complexity,True,137,0.0,39.0,True,
twistort_max,Twist-based tortuosity_max,Tortuosity,True,137,0.0,0.00133,True,
AA_max,Angular Asymmetry_max,Branching Angle,True,137,0.0,13.022770000000008,True,
inflectort_max,Inflection count tortuosity_max,Tortuosity,True,137,0.0,0.2922100000000001,True,
ang_m_max,Turning angles_mean_max,Tortuosity,True,137,0.0,0.1147099999999999,True,
CA_max,Curve Angle_max,Tortuosity,True,137,0.0,33.690070000000006,True,
SA_max,Surface area_max,Calibre,True,137,0.0,163.69754,True,
LDR_max,Length Diameter Ratio_max,Calibre,True,137,0.0,5.359159999999999,True,
AR_max,Asymmetry Ratio_max,Branching Angle,True,137,0.0,2.51607,True,
chord_max,Chord length_max,Density,True,137,0.0,55.5701,True,
W_mean_max,Calibre_mean_max,Calibre,True,137,0.0,10.76907,True,
angtort_max,Angle-based tortuosity_max,Tortuosity,True,137,0.0,0.3275999999999999,True,
N_tree,Number of vessel tree,Complexity,True,137,0.0,10.0,True,
N_seg,Number of vessel segments,Complexity,True,137,0.0,58.0,True,
br_den,Branching density,Density,True,137,0.0,0.0008,True,
N_br,Number of branching points,Complexity,True,137,0.0,62.0,True,
bi_den,Bifurcation density,Density,True,137,0.0,0.00127,True,
N_bi,Number of bifurcation points,Complexity,True,137,0.0,29.0,True,
N_termi0,Number of nonterminal points,Complexity,True,137,0.0,44.0,True,
W_termi0,Calibre_nonterminal,Calibre,True,137,0.0,1.165379999999999,True,
Arc_termi0,Arc length_nonterminal,Density,True,137,0.0,2.238599999999998,True,
N_termi1,Number of terminal points,Complexity,True,137,0.0,27.0,True,
W_termi1,Calibre_terminal,Calibre,True,137,0.0,0.6507899999999989,True,
Arc_termi1,Arc length_terminal,Density,True,137,0.0,2.287310000000005,True,
