outcome,model,n,predictor_count_including_intercept,r2,adj_r2,rmse,mae,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,cv_mae_mean,cv_mae_sd,condition_number
AL,Model 1 Clinical,137,3,0.1049880218059368,0.09162963407169711,1.237933521187329,0.9659052910011978,-0.19622746853230205,0.08503666771798041,1.43025438431081,0.051309989028968814,1.0245122578537238,0.018723742399527846,2.626675353462716
AL,Model 2 Clinical+OCTA,137,6,0.4103766641033372,0.3878719566263653,1.0047782627512167,0.8039311663704676,0.21919942008518434,0.0460767080839111,1.1557690921346937,0.03362541141722536,0.8699601935643554,0.016456944984659775,3.520767328359034
AL,Model 3 Clinical+Cho,137,8,0.29013816164470874,0.2516185270052743,1.1024777007530666,0.8968864881819251,0.018129276618910884,0.06737990057267751,1.295874843031618,0.0439376185941062,0.9869153757817116,0.024478577360084606,3.484060655257341
AL,Model 4 Clinical+OCTA+Cho,137,11,0.44833981119660704,0.4045572565296711,0.9718935974138131,0.7867000680178325,0.18587496759899794,0.05342696388815288,1.1800478629501803,0.03851026394611514,0.8914683332316308,0.022994127154219154,4.382748172513067
AL,Model 5 Clinical+OCTA_nonflow,137,5,0.3497581124312201,0.3300538128079237,1.0551649839960078,0.8210543677098499,0.12391622513539627,0.058682474157205664,1.2241143222013324,0.04037470485092882,0.8862775501554705,0.01745679841650784,3.0174523039311483
SE,Model 1 Clinical,137,3,0.07056275936801115,0.056690561746638224,3.1700350693595554,2.3302443625103293,-0.28223711397056217,0.12630702442885391,3.718804716608023,0.18560262740750408,2.499603314356641,0.057249270020788764,2.626675353462716
SE,Model 2 Clinical+OCTA,137,6,0.4653457371110492,0.4449390858557457,2.4043104763370358,1.91888366944213,0.2519567538633945,0.05451398541135404,2.842096871194382,0.10232990272011082,2.086674059546573,0.04667557231562987,3.520767328359034
SE,Model 3 Clinical+Cho,137,8,0.32996846045427464,0.29361015985877015,2.6915450604384183,2.0502131304749875,0.06652415991519213,0.0832174718924174,3.173907906549476,0.13888619993024448,2.2877250685739963,0.06742788566760508,3.484060655257341
SE,Model 4 Clinical+OCTA+Cho,137,11,0.5158111141600854,0.47738342480771123,2.2880285539547085,1.8292368571529756,0.27043397134739877,0.06501192169886222,2.8059052582440405,0.12309310837913856,2.08545162948331,0.062195188757928226,4.382748172513067
SE,Model 5 Clinical+OCTA_nonflow,137,5,0.41117758575902674,0.39333448229717916,2.523168177535007,1.989317354484977,0.16501111520095774,0.06835555587847365,3.0022418071153787,0.12096449044681172,2.144718072573413,0.05171820530870781,3.0174523039311483
